Country Name,Country Code,Year,Value
Arab World,ARB,2016,406452690.0
Caribbean small states,CSS,2016,7245472.0
Central Europe and the Baltics,CEB,2016,102974082.0
Early-demographic dividend,EAR,2016,3170542188.0
East Asia & Pacific,EAS,2016,2296786207.0
East Asia & Pacific (excluding high income),EAP,2016,2051431154.0
East Asia & Pacific (IDA & IBRD countries),TEA,2016,2026028438.0
Euro area,EMU,2016,340894606.0
Europe & Central Asia,ECS,2016,911995305.0
Europe & Central Asia (excluding high income),ECA,2016,417424643.0
Europe & Central Asia (IDA & IBRD countries),TEC,2016,455372659.0
European Union,EUU,2016,511497415.0
Fragile and conflict affected situations,FCS,2016,505635987.0
Heavily indebted poor countries (HIPC),HPC,2016,744602976.0
High income,HIC,2016,1190029421.0
IBRD only,IBD,2016,4697247117.0
IDA & IBRD total,IBT,2016,6271593092.0
IDA blend,IDB,2016,521159393.0
IDA only,IDX,2016,1053186582.0
IDA total,IDA,2016,1574345975.0
Late-demographic dividend,LTE,2016,2262709895.0
Latin America & Caribbean,LCN,2016,637664490.0
Latin America & Caribbean (excluding high income),LAC,2016,610136397.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,621534921.0
Least developed countries: UN classification,LDC,2016,979387925.0
Low & middle income,LMY,2016,6252106157.0
Low income,LIC,2016,659272676.0
Lower middle income,LMC,2016,3012923806.0
Middle East & North Africa,MEA,2016,436720722.0
Middle East & North Africa (excluding high income),MNA,2016,373719055.0
Middle East & North Africa (IDA & IBRD countries),TMN,2016,369167489.0
Middle income,MIC,2016,5592833481.0
North America,NAC,2016,359479269.0
OECD members,OED,2016,1289937319.0
Other small states,OSS,2016,29983809.0
Pacific island small states,PSS,2016,2388875.0
Post-demographic dividend,PST,2016,1102730983.0
Pre-demographic dividend,PRE,2016,879292453.0
Small states,SST,2016,39618156.0
South Asia,SAS,2016,1766383450.0
South Asia (IDA & IBRD),TSA,2016,1766383450.0
Sub-Saharan Africa,SSF,2016,1033106135.0
Sub-Saharan Africa (excluding high income),SSA,2016,1033011458.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,1033106135.0
Upper middle income,UMC,2016,2579909675.0
World,WLD,2016,7442135578.0
Afghanistan,AFG,2016,34656032.0
Albania,ALB,2016,2876101.0
Algeria,DZA,2016,40606052.0
American Samoa,ASM,2016,55599.0
Andorra,AND,2016,77281.0
Angola,AGO,2016,28813463.0
Antigua and Barbuda,ATG,2016,100963.0
Argentina,ARG,2016,43847430.0
Armenia,ARM,2016,2924816.0
Aruba,ABW,2016,104822.0
Australia,AUS,2016,24127159.0
Austria,AUT,2016,8747358.0
Azerbaijan,AZE,2016,9762274.0
"Bahamas, The",BHS,2016,391232.0
Bahrain,BHR,2016,1425171.0
Bangladesh,BGD,2016,162951560.0
Barbados,BRB,2016,284996.0
Belarus,BLR,2016,9507120.0
Belgium,BEL,2016,11348159.0
Belize,BLZ,2016,366954.0
Benin,BEN,2016,10872298.0
Bermuda,BMU,2016,65331.0
Bhutan,BTN,2016,797765.0
Bolivia,BOL,2016,10887882.0
Bosnia and Herzegovina,BIH,2016,3516816.0
Botswana,BWA,2016,2250260.0
Brazil,BRA,2016,207652865.0
British Virgin Islands,VGB,2016,30661.0
Brunei Darussalam,BRN,2016,423196.0
Bulgaria,BGR,2016,7127822.0
Burkina Faso,BFA,2016,18646433.0
Burundi,BDI,2016,10524117.0
Cabo Verde,CPV,2016,539560.0
Cambodia,KHM,2016,15762370.0
Cameroon,CMR,2016,23439189.0
Canada,CAN,2016,36286425.0
Cayman Islands,CYM,2016,60765.0
Central African Republic,CAF,2016,4594621.0
Chad,TCD,2016,14452543.0
Channel Islands,CHI,2016,164541.0
Chile,CHL,2016,17909754.0
China,CHN,2016,1378665000.0
Colombia,COL,2016,48653419.0
Comoros,COM,2016,795601.0
"Congo, Dem. Rep.",COD,2016,78736153.0
"Congo, Rep.",COG,2016,5125821.0
Costa Rica,CRI,2016,4857274.0
Cote d'Ivoire,CIV,2016,23695919.0
Croatia,HRV,2016,4170600.0
Cuba,CUB,2016,11475982.0
Curacao,CUW,2016,159999.0
Cyprus,CYP,2016,1170125.0
Czech Republic,CZE,2016,10561633.0
Denmark,DNK,2016,5731118.0
Djibouti,DJI,2016,942333.0
Dominica,DMA,2016,73543.0
Dominican Republic,DOM,2016,10648791.0
Ecuador,ECU,2016,16385068.0
"Egypt, Arab Rep.",EGY,2016,95688681.0
El Salvador,SLV,2016,6344722.0
Equatorial Guinea,GNQ,2016,1221490.0
Estonia,EST,2016,1316481.0
Ethiopia,ETH,2016,102403196.0
Faroe Islands,FRO,2016,49117.0
Fiji,FJI,2016,898760.0
Finland,FIN,2016,5495096.0
France,FRA,2016,66896109.0
French Polynesia,PYF,2016,280208.0
Gabon,GAB,2016,1979786.0
"Gambia, The",GMB,2016,2038501.0
Georgia,GEO,2016,3719300.0
Germany,DEU,2016,82667685.0
Ghana,GHA,2016,28206728.0
Gibraltar,GIB,2016,34408.0
Greece,GRC,2016,10746740.0
Greenland,GRL,2016,56186.0
Grenada,GRD,2016,107317.0
Guam,GUM,2016,162896.0
Guatemala,GTM,2016,16582469.0
Guinea,GIN,2016,12395924.0
Guinea-Bissau,GNB,2016,1815698.0
Guyana,GUY,2016,773303.0
Haiti,HTI,2016,10847334.0
Honduras,HND,2016,9112867.0
"Hong Kong SAR, China",HKG,2016,7346700.0
Hungary,HUN,2016,9817958.0
Iceland,ISL,2016,334252.0
India,IND,2016,1324171354.0
Indonesia,IDN,2016,261115456.0
"Iran, Islamic Rep.",IRN,2016,80277428.0
Iraq,IRQ,2016,37202572.0
Ireland,IRL,2016,4773095.0
Isle of Man,IMN,2016,83737.0
Israel,ISR,2016,8547100.0
Italy,ITA,2016,60600590.0
